subject_id,setup,position,pupil,car,tb,house,sc,tc,tsb,recorded_tasks,successful_tasks,failed_tasks,not_recorded_tasks,overall_success
62449968,head_mounted,sitting,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
41804101,head_mounted,sitting,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
36594506,head_mounted,sitting,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
69907732,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
6184491,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
19125832,head_mounted,sitting,no_issue,not_recorded,success,success,success,success,success,5,5,0,1,0
21053630,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
21153321,head_mounted,sitting,slight_issues,failure,success,success,success,success,success,6,5,1,0,0
27194039,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
27011494,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
51230424,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
89364598,head_mounted,sitting,no_issue,failure,success,success,success,success,success,6,5,1,0,0
68635455,head_mounted,sitting,slight_issues,success,success,success,success,success,success,6,6,0,0,1
74765700,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
96434938,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
98811232,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
21347602,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
21843109,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
41271188,head_mounted,sitting,severe_issues,success,success,success,success,success,success,6,6,0,0,1
39877408,head_mounted,sitting,no_issue,success,success,success,success,success,success,6,6,0,0,1
62434514,head_mounted,standing,severe_issues,success,success,success,success,success,success,6,6,0,0,1
46309944,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
34055055,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
98655811,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
44376077,head_mounted,standing,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
26300024,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
98208696,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
64547051,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
96783900,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
245213,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
49201083,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
68685044,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
60573592,head_mounted,standing,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
53605771,head_mounted,standing,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
64261249,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
54301029,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
56727984,head_mounted,standing,no_issue,success,success,success,success,success,success,6,6,0,0,1
28239045,head_mounted,standing,slight_issues,success,success,success,success,success,success,6,6,0,0,1
28373037,head_mounted,standing,impossible,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
52687171,head_mounted,standing,slight_issues,success,not_recorded,success,success,success,success,5,5,0,1,0
32322786,remote,sitting,NA,failure,success,success,success,success,success,6,5,1,0,0
6581999,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
87891249,remote,sitting,NA,failure,success,success,success,success,success,6,5,1,0,0
10383544,remote,sitting,NA,not_recorded,not_recorded,not_recorded,success,success,success,3,3,0,3,0
20325714,remote,sitting,NA,not_recorded,success,success,success,success,success,5,5,0,1,0
26239669,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
30587763,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
44147463,remote,sitting,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
78327127,remote,sitting,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
85785965,remote,sitting,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
32407868,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
59755226,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
34608206,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
19379603,remote,sitting,NA,success,success,success,success,success,not_recorded,5,5,0,1,0
43953972,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
63407394,remote,sitting,NA,failure,success,success,success,success,success,6,5,1,0,0
37931545,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
38679962,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
71095083,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
59704756,remote,sitting,NA,success,success,success,success,success,success,6,6,0,0,1
48302448,remote,standing,NA,failure,success,success,success,success,success,6,5,1,0,0
78190661,remote,standing,NA,success,failure,success,success,success,success,6,5,1,0,0
5530740,remote,standing,NA,failure,success,success,success,success,success,6,5,1,0,0
56667891,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
19646926,remote,standing,NA,failure,success,success,success,success,success,6,5,1,0,0
71182729,remote,standing,NA,success,success,failure,success,success,success,6,5,1,0,0
27093216,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
57836695,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
58905878,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
98141657,remote,standing,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
69455467,remote,standing,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
40812801,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
63210075,remote,standing,NA,failure,success,success,success,success,success,6,5,1,0,0
89018981,remote,standing,NA,failure,success,success,success,success,failure,6,4,2,0,0
96939853,remote,standing,NA,failure,success,success,success,success,success,6,5,1,0,0
71663905,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
30356638,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
98752467,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
67056507,remote,standing,NA,success,success,success,success,success,success,6,6,0,0,1
81652266,remote,standing,NA,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,0,0,0,6,0
